"from_npi","to_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text"
"1811104003","1295780476","181","272","12.658","37.23","General Acute Care Hospital","Internal Medicine","Nephrology","HTI MEMORIAL HOSPITAL CORPORATION","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1780778969","78","104","32.644","55.568","General Acute Care Hospital","Internal Medicine","Nephrology","SAINT THOMAS WEST HOSPITAL","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1023055126","91","114","49.132","65.705","General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1669567897","258","646","17.11","35.476","General Acute Care Hospital","Internal Medicine","Nephrology","NORTHCREST MEDICAL CENTER","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1942299359","1164590386","64","131","25.901","55.052","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS RUTHERFORD HOSPITAL","JOSHUA MCCOLLUM","MD","MARK",NULL,NULL
"1942299359","1992776405","50","63","36.746","41.474","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","JOSHUA MCCOLLUM","MD","MARK",NULL,NULL
"1104917061","1932170750","122","257","14.031","36.828","General Acute Care Hospital","Family Medicine",NULL,"SHELBYVILLE HOSPITAL COMPANY LLC","LANA BEAVERS","M.D.","SHARON","DR.",NULL
"1043205008","1982650024","96","180","14.306","37.529","General Acute Care Hospital","General Practice",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","THOMAS KOWAL","M.D.","A",NULL,NULL
"1043205008","1396882205","31","76","26.579","39.746","General Acute Care Hospital","General Practice",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","THOMAS KOWAL","M.D.","A",NULL,NULL
"1043205008","1922319037","31","69","12.101","23.47","General Acute Care Hospital","General Practice",NULL,"RIVERVIEW MEDICAL CENTER LLC","THOMAS KOWAL","M.D.","A",NULL,NULL
"1043205008","1306889597","72","130","26.331","38.191","General Acute Care Hospital","General Practice",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","THOMAS KOWAL","M.D.","A",NULL,NULL
"1942412358","1396882205","55","85","28.588","33.376","General Acute Care Hospital","Internal Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","JENNIFER RAYBURN","M.D.","TAYLOR",NULL,NULL
"1942412358","1164590386","98","147","33.918","46.276","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS RUTHERFORD HOSPITAL","JENNIFER RAYBURN","M.D.","TAYLOR",NULL,NULL
"1336200385","1861479545","479","876","7.669","19.977","General Acute Care Hospital","Internal Medicine","Pulmonary Disease","MAURY REGIONAL HOSPITAL","JON FREELS","M.D.","L",NULL,NULL
"1871573196","1780778969","28","124","10.774","34.56","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS WEST HOSPITAL","KENNETH HICKS","MD",NULL,NULL,NULL
"1255624433","1396882205","237","249","3.378","5.759","General Acute Care Hospital","Internal Medicine","Hospice and Palliative Medicine","VANDERBILT UNIVERSITY MEDICAL CENTER","STACEY TILLMAN","M.D.","DOUGLAS",NULL,NULL
"1326135443","1396882205","720","1801","1.466","10.767","General Acute Care Hospital","Internal Medicine","Nephrology","VANDERBILT UNIVERSITY MEDICAL CENTER","HEIDI SCHAEFER","MD",NULL,NULL,NULL
"1114979184","1396882205","112","165","45.339","54.324","General Acute Care Hospital","Internal Medicine","Nephrology","VANDERBILT UNIVERSITY MEDICAL CENTER","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114979184","1265445506","80","98","25.643","47.049","General Acute Care Hospital","Internal Medicine","Nephrology","WILLIAMSON COUNTY HOSPITAL DISTRICT","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114979184","1871530832","56","67","0.015","0.122","General Acute Care Hospital","Internal Medicine","Nephrology","CENTRAL TENNESSEE HOSPITAL CORPORATION","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114979184","1629025648","47","70","44.029","59.277","General Acute Care Hospital","Internal Medicine","Nephrology","SAINT THOMAS WEST HOSPITAL","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114979184","1861479545","616","1490","15.954","31.868","General Acute Care Hospital","Internal Medicine","Nephrology","MAURY REGIONAL HOSPITAL","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114979184","1023055126","59","72","46.514","54.321","General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHERYL CLAYTON","MD","BUTTRAM","DR.",NULL
"1114916095","1447571658","33","75","17.853","17.379","General Acute Care Hospital","Family Medicine","Hospice and Palliative Medicine","SUMNER REGIONAL MEDICAL CENTER LLC","LEILA AUGUST","MD","M",NULL,NULL
"1699947655","1396882205","208","443","1.384","5.979","General Acute Care Hospital","Internal Medicine","Hematology & Oncology","VANDERBILT UNIVERSITY MEDICAL CENTER","OLALEKAN OLUWOLE","MD, MPH","OLANIYI","DR.",NULL
"1477548675","1215937982","85","174","3.793","31.039","Long Term Care Hospital","Internal Medicine","Pulmonary Disease","SELECT SPECIALTY HOSPITAL - NASHVILLE LLC","ROBERT MANGIALARDI","MD","J","MR.",NULL
"1477548675","1932146032","69","75","30.92","64.6","General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT MANGIALARDI","MD","J","MR.",NULL
"1477548675","1780778969","104","152","24.572","57.779","General Acute Care Hospital","Internal Medicine","Pulmonary Disease","SAINT THOMAS WEST HOSPITAL","ROBERT MANGIALARDI","MD","J","MR.",NULL
"1477548675","1265487193","43","68","30.838","56.782","General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT MANGIALARDI","MD","J","MR.",NULL
"1477548675","1023055126","529","1706","5.423","23.053","General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT MANGIALARDI","MD","J","MR.",NULL
"1245203355","1982650024","341","491","5.185","26.462","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","MELISSA WALTON-SHIRLEY","M.D.","K.","DR.",NULL
"1245203355","1629025648","64","75","32.773","44.259","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS WEST HOSPITAL","MELISSA WALTON-SHIRLEY","M.D.","K.","DR.",NULL
"1245203355","1447571658","383","630","13.033","34.82","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SUMNER REGIONAL MEDICAL CENTER LLC","MELISSA WALTON-SHIRLEY","M.D.","K.","DR.",NULL
"1376538207","1396882205","50","76","39.066","44.222","General Acute Care Hospital","Internal Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","DEEPINDER BAL","MD","S","MR.",NULL
"1376538207","1023055126","343","984","2.956","16.858","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","DEEPINDER BAL","MD","S","MR.",NULL
"1033316484","1447571658","38","53","30.302","51.268","General Acute Care Hospital","Family Medicine","Sports Medicine","SUMNER REGIONAL MEDICAL CENTER LLC","JEFFRIE KINDRED","DO","C",NULL,NULL
"1154342046","1992776405","425","963","0","0","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","HRISHI KANTH","M.D.","M.",NULL,NULL
"1154342046","1023055126","79","85","47.235","56.056","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","HRISHI KANTH","M.D.","M.",NULL,NULL
"1902858574","1538114434","45","66","0","0","General Acute Care Hospital","Family Medicine",NULL,"HENDERSONVILLE HOSPITAL CORPORATION","MICHAEL BERNUI","D.O.","R.","DR.",NULL
"1659570760","1396882205","124","166","3.813","12.606","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","LYNN PUNNOOSE","M.D.","RAJU","DR.",NULL
"1538147319","1396882205","49","76","44.171","43.445","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","VANDERBILT UNIVERSITY MEDICAL CENTER","TERRI JERKINS","M.D.","WOOD","DR.",NULL
"1538147319","1265445506","53","89","24.213","40.502","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","WILLIAMSON COUNTY HOSPITAL DISTRICT","TERRI JERKINS","M.D.","WOOD","DR.",NULL
"1538147319","1023055126","58","96","37.188","43.555","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","HCA HEALTH SERVICES OF TENNESSEE, INC.","TERRI JERKINS","M.D.","WOOD","DR.",NULL
"1316034424","1396882205","315","668","1.066","5.672","General Acute Care Hospital","Internal Medicine","Gastroenterology","VANDERBILT UNIVERSITY MEDICAL CENTER","DAVID SCHWARTZ","MD",NULL,NULL,NULL
"1427046622","1982650024","253","456","9.314","27.519","General Acute Care Hospital","Internal Medicine","Infectious Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","LISA LAYA","MD",NULL,"DR.",NULL
"1427046622","1396882205","63","74","46.554","54.463","General Acute Care Hospital","Internal Medicine","Infectious Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","LISA LAYA","MD",NULL,"DR.",NULL
"1427046622","1538114434","142","231","12.1","43.803","General Acute Care Hospital","Internal Medicine","Infectious Disease","HENDERSONVILLE HOSPITAL CORPORATION","LISA LAYA","MD",NULL,"DR.",NULL
"1427046622","1447571658","42","57","32.456","43.145","General Acute Care Hospital","Internal Medicine","Infectious Disease","SUMNER REGIONAL MEDICAL CENTER LLC","LISA LAYA","MD",NULL,"DR.",NULL
"1427046622","1295780476","104","127","27.819","57.797","General Acute Care Hospital","Internal Medicine","Infectious Disease","HTI MEMORIAL HOSPITAL CORPORATION","LISA LAYA","MD",NULL,"DR.",NULL
"1427046622","1306889597","29","66","21.712","48.186","General Acute Care Hospital","Internal Medicine","Infectious Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","LISA LAYA","MD",NULL,"DR.",NULL
"1760682280","1396882205","116","132","47.818","57.25","General Acute Care Hospital","Pediatrics","Sports Medicine","VANDERBILT UNIVERSITY MEDICAL CENTER","ALEX DIAMOND","DO, MPH","BENJAMIN",NULL,NULL
"1881673093","1982650024","108","164","30.189","43.187","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","BERNARD PARE'","M.D.",NULL,"DR.",NULL
"1881673093","1396882205","24","57","24.281","33.892","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","BERNARD PARE'","M.D.",NULL,"DR.",NULL
"1972573038","1932170750","151","228","17.5","35.691","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SHELBYVILLE HOSPITAL COMPANY LLC","TINA COVINGTON GRESHAM","M.D.","DARNISE",NULL,NULL
"1972573038","1164590386","97","137","32.818","44.975","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS RUTHERFORD HOSPITAL","TINA COVINGTON GRESHAM","M.D.","DARNISE",NULL,NULL
"1306831284","1720032345","290","760","3.682","16.368","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","STEVEN JOHNSON","MD","P","MR.",NULL
"1306831284","1396882205","40","83","27.542","35.233","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","STEVEN JOHNSON","MD","P","MR.",NULL
"1275888992","1417938846","83","122","42.295","72.485","General Acute Care Hospital","Family Medicine",NULL,"MACON COUNTY GENERAL HOSPITAL, INC.","JAMII JOHNSON","M.D.",NULL,NULL,NULL
"1932296043","1396882205","135","204","4.196","10.641","General Acute Care Hospital","Internal Medicine","Infectious Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","PATTY WRIGHT","MD",NULL,NULL,NULL
"1285695171","1780778969","32","59","20.695","34.59","General Acute Care Hospital","Family Medicine",NULL,"SAINT THOMAS WEST HOSPITAL","SCOTT BROWN","M.D.","DUFF",NULL,NULL
"1285695171","1265487193","59","78","13.654","23.852","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","SCOTT BROWN","M.D.","DUFF",NULL,NULL
"1285695171","1023055126","45","57","36.982","50.096","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","SCOTT BROWN","M.D.","DUFF",NULL,NULL
"1245225937","1023055126","378","1015","3.038","16.573","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","LOUIS JOHNSON","MD","C","MR.",NULL
"1487678835","1396882205","38","77","16.961","20.063","General Acute Care Hospital","Family Medicine","Hospice and Palliative Medicine","VANDERBILT UNIVERSITY MEDICAL CENTER","NIKKALYNN DELAURENTIS","DO","F","DR.",NULL
"1679667521","1396882205","30","52","26.827","44.185","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","MATTHEW BROWNING","M.D","F","MR.",NULL
"1679667521","1669567897","171","276","22.264","39.398","General Acute Care Hospital","Family Medicine",NULL,"NORTHCREST MEDICAL CENTER","MATTHEW BROWNING","M.D","F","MR.",NULL
"1427073451","1629025648","71","82","30.451","71.405","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS WEST HOSPITAL","SUSANA DONAGHEY","MD","IRIAS","DR.",NULL
"1427073451","1538114434","102","132","2.28","26.199","General Acute Care Hospital","Internal Medicine",NULL,"HENDERSONVILLE HOSPITAL CORPORATION","SUSANA DONAGHEY","MD","IRIAS","DR.",NULL
"1427073451","1164590386","398","587","8.024","27.376","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS RUTHERFORD HOSPITAL","SUSANA DONAGHEY","MD","IRIAS","DR.",NULL
"1841278157","1568551455","70","149","0.255","2.194","General Acute Care Hospital","Internal Medicine",NULL,"NASHVILLE GENERAL HOSPITAL","MONIQUE BENNERMAN","M.D.","MICHELLE","DR.",NULL
"1609970797","1629025648","307","676","19.848","43.223","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","SAINT THOMAS WEST HOSPITAL","JAMES GAUME","MD","A",NULL,NULL
"1609970797","1780778969","68","77","46.896","52.498","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","SAINT THOMAS WEST HOSPITAL","JAMES GAUME","MD","A",NULL,NULL
"1225039290","1922319037","131","139","0","0","General Acute Care Hospital","Family Medicine",NULL,"RIVERVIEW MEDICAL CENTER LLC","ROBERT RICHTER","MD","ALAN","MR.",NULL
"1811935612","1720032345","66","90","36.556","50.517","General Acute Care Hospital","General Practice",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1811935612","1396882205","56","75","45.48","59.885","General Acute Care Hospital","General Practice",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1811935612","1164590386","53","68","37.5","47.245","General Acute Care Hospital","General Practice",NULL,"SAINT THOMAS RUTHERFORD HOSPITAL","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1811935612","1568551455","186","239","0.326","3.565","General Acute Care Hospital","General Practice",NULL,"NASHVILLE GENERAL HOSPITAL","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1811935612","1780778969","45","62","36.903","56.933","General Acute Care Hospital","General Practice",NULL,"SAINT THOMAS WEST HOSPITAL","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1811935612","1023055126","70","86","44.047","56.758","General Acute Care Hospital","General Practice",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","ERIK MOTSENBOCKER","M.D.","BYRON",NULL,NULL
"1912060468","1396882205","242","330","49.818","49.472","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","JANICE VINSON","M.D.","M",NULL,NULL
"1912060468","1578591756","133","302","15.748","38.772","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","MAURY REGIONAL HOSPITAL MARSHALL MEDICAL CENTER","JANICE VINSON","M.D.","M",NULL,NULL
"1912060468","1861479545","940","1626","25.787","42.234","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","MAURY REGIONAL HOSPITAL","JANICE VINSON","M.D.","M",NULL,NULL
"1689653461","1568551455","89","201","0.716","6.856","General Acute Care Hospital","Internal Medicine",NULL,"NASHVILLE GENERAL HOSPITAL","AYODEJI OSO","M.D.","AYOOLA","DR.",NULL
"1366559536","1396882205","108","151","0.563","6.123","General Acute Care Hospital","Internal Medicine","Gastroenterology","VANDERBILT UNIVERSITY MEDICAL CENTER","ERIC SUMNER","M.D.","L.",NULL,NULL
"1568488708","1164590386","60","79","36.354","45.523","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS RUTHERFORD HOSPITAL","CETIN HEKIMOGLU","MD",NULL,NULL,NULL
"1568488708","1508247016","47","64","39.938","61.483","Medicare Defined Swing Bed Unit","Internal Medicine",NULL,"SAINT THOMAS RIVER PARK HOSPITAL, LLC","CETIN HEKIMOGLU","MD",NULL,NULL,NULL
"1568488708","1518346469","268","597","18.889","38.456","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS RIVER PARK HOSPITAL, LLC","CETIN HEKIMOGLU","MD",NULL,NULL,NULL
"1578728283","1396882205","46","55","39.255","28.952","General Acute Care Hospital","Internal Medicine","Nephrology","VANDERBILT UNIVERSITY MEDICAL CENTER","CESAR CARDONA","M.D.","YAMIL",NULL,NULL
"1578728283","1568551455","73","186","8.731","18.576","General Acute Care Hospital","Internal Medicine","Nephrology","NASHVILLE GENERAL HOSPITAL","CESAR CARDONA","M.D.","YAMIL",NULL,NULL
"1578728283","1780778969","57","63","18.619","51.927","General Acute Care Hospital","Internal Medicine","Nephrology","SAINT THOMAS WEST HOSPITAL","CESAR CARDONA","M.D.","YAMIL",NULL,NULL
"1578728283","1861479545","144","300","3.757","15.708","General Acute Care Hospital","Internal Medicine","Nephrology","MAURY REGIONAL HOSPITAL","CESAR CARDONA","M.D.","YAMIL",NULL,NULL
"1831345669","1861479545","331","662","0","0","General Acute Care Hospital","Internal Medicine","Critical Care Medicine","MAURY REGIONAL HOSPITAL","JOE PHILIP","M.D.",NULL,"DR.",NULL
"1508862939","1982650024","51","71","45.296","55.68","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHERYL FASSLER","M.D.","A",NULL,NULL
"1508862939","1780778969","89","111","38.027","55.185","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","SAINT THOMAS WEST HOSPITAL","CHERYL FASSLER","M.D.","A",NULL,NULL
"1932128782","1265445506","87","142","43.549","44.437","General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","WILLIAMSON COUNTY HOSPITAL DISTRICT","ROBERT PICKETT","M.D.","ANDREW",NULL,NULL
"1932128782","1871530832","34","56","43.661","57.137","General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","CENTRAL TENNESSEE HOSPITAL CORPORATION","ROBERT PICKETT","M.D.","ANDREW",NULL,NULL
"1932128782","1295780476","49","82","36.476","43.561","General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","HTI MEMORIAL HOSPITAL CORPORATION","ROBERT PICKETT","M.D.","ANDREW",NULL,NULL
"1932128782","1780778969","785","1369","17.408","35.58","General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","SAINT THOMAS WEST HOSPITAL","ROBERT PICKETT","M.D.","ANDREW",NULL,NULL
"1932128782","1023055126","73","92","45.489","43.112","General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT PICKETT","M.D.","ANDREW",NULL,NULL
"1326086653","1629025648","1664","2228","6.502","31.355","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS WEST HOSPITAL","DANTE GRAVES","M.D.","J.",NULL,NULL
"1326086653","1447571658","40","55","49.036","66.589","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SUMNER REGIONAL MEDICAL CENTER LLC","DANTE GRAVES","M.D.","J.",NULL,NULL
"1790708097","1306889597","82","115","47.209","78.883","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","JOHN FISK","MD","W",NULL,"JR."
"1740262104","1629025648","34","56","26.964","35.349","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS WEST HOSPITAL","GERTRUDE STONE","M.D.","OEHMIG",NULL,NULL
"1376585174","1629025648","146","211","27.578","44.081","General Acute Care Hospital","Internal Medicine",NULL,"SAINT THOMAS WEST HOSPITAL","CECELIA FISHER","M.D.","G.",NULL,NULL
"1740484229","1396882205","45","74","1.338","6.632","General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","VANDERBILT UNIVERSITY MEDICAL CENTER","ANDREA RAMIREZ","MD","HAVENS",NULL,NULL
"1427180868","1629025648","86","92","47.913","70.585","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS WEST HOSPITAL","EDWARD RHIM","M.D.","D.",NULL,NULL
"1427180868","1164590386","921","1499","7.255","29.809","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS RUTHERFORD HOSPITAL","EDWARD RHIM","M.D.","D.",NULL,NULL
"1427180868","1518346469","175","235","29.855","54.808","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","SAINT THOMAS RIVER PARK HOSPITAL, LLC","EDWARD RHIM","M.D.","D.",NULL,NULL
"1396751749","1982650024","62","70","30.286","42.652","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT JANTZ","M.D.","JOSEPH",NULL,NULL
"1396751749","1306889597","152","238","26.437","38.044","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","ROBERT JANTZ","M.D.","JOSEPH",NULL,NULL
"1215084108","1396882205","173","257","6.218","16.503","General Acute Care Hospital","Internal Medicine","Infectious Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","LORA THOMAS","MD",NULL,NULL,NULL
"1669473716","1396882205","460","913","6.329","20.958","General Acute Care Hospital","Internal Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","BILLY COPELAND","M.D.",NULL,NULL,NULL
"1669473716","1265445506","172","244","49.598","58.989","General Acute Care Hospital","Internal Medicine",NULL,"WILLIAMSON COUNTY HOSPITAL DISTRICT","BILLY COPELAND","M.D.",NULL,NULL,NULL
"1194751354","1396882205","53","71","42.479","43.251","General Acute Care Hospital","Internal Medicine","Medical Oncology","VANDERBILT UNIVERSITY MEDICAL CENTER","NANCY PEACOCK","MD","W",NULL,NULL
"1194751354","1992861314","37","64","12.641","38.231","General Acute Care Hospital","Internal Medicine","Medical Oncology","SETON CORPORATION","NANCY PEACOCK","MD","W",NULL,NULL
"1194751354","1780778969","214","349","23.564","45.005","General Acute Care Hospital","Internal Medicine","Medical Oncology","SAINT THOMAS WEST HOSPITAL","NANCY PEACOCK","MD","W",NULL,NULL
"1194751354","1023055126","100","141","42.184","59.011","General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","NANCY PEACOCK","MD","W",NULL,NULL
"1396739140","1295780476","187","251","30.271","57.457","General Acute Care Hospital","Internal Medicine","Gastroenterology","HTI MEMORIAL HOSPITAL CORPORATION","ALLAN BAILEY","M.D.","HAROLD",NULL,NULL
"1396739140","1780778969","71","89","38.494","66.071","General Acute Care Hospital","Internal Medicine","Gastroenterology","SAINT THOMAS WEST HOSPITAL","ALLAN BAILEY","M.D.","HAROLD",NULL,NULL
"1073605499","1396882205","500","876","8.301","25.25","General Acute Care Hospital","Internal Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","BOBBY WHITE","MD",NULL,NULL,NULL
"1073605499","1265445506","223","320","44.156","60.788","General Acute Care Hospital","Internal Medicine",NULL,"WILLIAMSON COUNTY HOSPITAL DISTRICT","BOBBY WHITE","MD",NULL,NULL,NULL
